Bear,Date,Time,Latitude,Longitude
2,11.04.2014,14:30:10,70.5563085,-147.6959285
2,11.04.2014,15:00:02,70.5562228,-147.6958378
2,11.04.2014,15:30:09,70.5624064,-147.7073215
2,11.04.2014,16:00:30,70.5724164,-147.7170836
2,11.04.2014,16:30:10,70.5753197,-147.7458252
2,11.04.2014,17:00:10,70.5752891,-147.7457054
2,11.04.2014,17:30:10,70.5752868,-147.7457797
2,11.04.2014,18:00:26,70.5752936,-147.7457282
2,11.04.2014,18:30:10,70.5752942,-147.7457569
2,11.04.2014,19:00:13,70.5752744,-147.745697
2,11.04.2014,19:30:20,70.5756014,-147.7458217
